group_index,item_id,source_item_uid,domain,concept,task,is_repeated_check,stem,file
36,ITEM_809,GLM_C_C29,Climate/Environment,海洋垃圾与塑料污染,C,False,概念：海洋垃圾与塑料污染。题目：塑料垃圾在海洋中会自然分解消失吗。选项：A. 会，海水能溶解塑料；B. 不会，只会碎裂成微塑料；C. 会，几十年后降解；D. 不会，塑料会变成沙子。答案：B。解析：塑料极难降解，仅碎裂为微塑料危害生态。,920ce42582db4012aeba61ee82b426d9.xlsx
37,ITEM_540,mimo_C_C30,Climate/Environment,自然变率与人为影响,C,False,概念：自然变率与人为影响。题目：关于近年气候变化的主要驱动因素，正确的是。选项：A. 气候变化完全是自然现象；B. 完全是人类活动造成的；C. 自然因素和人类活动共同影响，人为影响已成主因；D. 人类活动对气候没有影响。答案：C。解析：气候变化受自然和人为因素共同影响，人类排放温室气体已成主因。,920ce42582db4012aeba61ee82b426d9.xlsx
38,ITEM_720,GPT_C_C30,Climate/Environment,自然变率与人为影响,C,False,概念：自然变率与人为影响。题目：当前快速变暖主要与什么有关。选项：A. 人为温室气体排放；B. 完全自然周期；C. 太阳每天更近；D. 火山一直增多。答案：A。解析：自然波动存在，但难解释近现代快速变暖。,920ce42582db4012aeba61ee82b426d9.xlsx
40,ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,True,概念：二氧化碳的气候作用。题目：二氧化碳仅占0.04%，影响大吗。选项：A. 影响微乎其微；B. 影响巨大；C. 没有影响；D. 只有污染影响。答案：B。解析：微量二氧化碳对温室效应起决定性调节作用。,920ce42582db4012aeba61ee82b426d9.xlsx
1,ITEM_451,mimo_A_C01,Physics,惯性,A,False,概念：惯性。解释：惯性是物体保持原有运动状态的性质。常见误解：运动必须一直受力。正确说明：没有净力时，物体也可保持匀速直线运动。,ad21f69584e04e708e543860490f7762.xlsx
2,ITEM_721,GLM_A_C01,Physics,惯性,A,False,概念：惯性。解释：惯性是物体保持原有运动状态的性质。常见误解：运动必须一直受力。正确说明：没有净力时，物体也可保持匀速直线运动。,ad21f69584e04e708e543860490f7762.xlsx
3,ITEM_092,claude_A_C02,Physics,净力与加速度,A,False,概念：净力与加速度。解释：加速度由合外力决定，合外力为零时加速度为零，物体不一定静止。常见误解：有速度就有力，静止就没有力。正确说明：加速度为零只说明合外力为零，不代表无力。,ad21f69584e04e708e543860490f7762.xlsx
4,ITEM_722,GLM_A_C02,Physics,净力与加速度,A,False,概念：净力与加速度。解释：净力是改变物体运动状态的原因，产生加速度。常见误解：速度大则受力大。正确说明：净力决定加速度而非速度，匀速运动时净力为零。,ad21f69584e04e708e543860490f7762.xlsx
5,ITEM_183,豆包_A_C03,Physics,牛顿第三定律,A,False,概念：牛顿第三定律。解释：两个物体间作用力与反作用力大小相等、方向相反。常见误解：作用力与反作用力相互抵消。正确说明：二者作用在不同物体，无法抵消。,ad21f69584e04e708e543860490f7762.xlsx
6,ITEM_453,mimo_A_C03,Physics,牛顿第三定律,A,False,概念：牛顿第三定律。解释：作用力与反作用力大小相等、方向相反，分别作用在两个不同物体上。常见误解：作用力与反作用力能互相抵消。正确说明：它们作用在不同物体上，不能抵消。,ad21f69584e04e708e543860490f7762.xlsx
7,ITEM_004,千问_A_C04,Physics,抛体运动,A,False,概念：抛体运动。解释：水平匀速与竖直自由落体的合成运动。常见误解：水平运动需要持续受力。正确说明：水平方向不受力，仅靠惯性匀速运动。,ad21f69584e04e708e543860490f7762.xlsx
8,ITEM_184,豆包_A_C04,Physics,抛体运动,A,False,概念：抛体运动。解释：抛体运动是仅受重力的曲线运动，水平方向匀速。常见误解：抛体上升时不受重力。正确说明：全程受重力，加速度恒为重力加速度。,ad21f69584e04e708e543860490f7762.xlsx
9,ITEM_275,DEEPSEEK_A_C05,Physics,圆周运动,A,False,概念：圆周运动。解释：物体沿圆周运动时，需要指向圆心的向心力。常见误解：圆周运动存在向外的离心力。正确说明：感受到的向外拖拽是惯性表现，不是真实离心力。,ad21f69584e04e708e543860490f7762.xlsx
