item_id,generator,model,task,domain,concept_id,concept,output,text,content_json,model_file
千问_A_C17,Alibaba Qwen,Alibaba Qwen,A,Biology,C17,能量流动与物质循环,能量单向流动，物质在生态系统中循环。,能量单向流动，物质在生态系统中循环。,"{""id"":""C17"",""concept"":""能量流动与物质循环"",""text"":""能量单向流动，物质在生态系统中循环。"",""misconception"":""能量在食物链中循环使用"",""correction"":""能量流动是单向的，物质才是循环的。""}",千问.txt
千问_A_C18,Alibaba Qwen,Alibaba Qwen,A,Biology,C18,光合作用与细胞呼吸,光合作用储能，细胞呼吸释能，互为逆过程。,光合作用储能，细胞呼吸释能，互为逆过程。,"{""id"":""C18"",""concept"":""光合作用与细胞呼吸"",""text"":""光合作用储能，细胞呼吸释能，互为逆过程。"",""misconception"":""植物只在白天进行光合作用"",""correction"":""植物全天进行呼吸作用，光合作用仅在光下。""}",千问.txt
千问_A_C19,Alibaba Qwen,Alibaba Qwen,A,Geoscience,C19,板块构造,地球岩石圈分裂成板块，在软流层上移动。,地球岩石圈分裂成板块，在软流层上移动。,"{""id"":""C19"",""concept"":""板块构造"",""text"":""地球岩石圈分裂成板块，在软流层上移动。"",""misconception"":""大陆漂移是传说，没有证据"",""correction"":""古地磁和GPS数据证实板块确实在缓慢移动。""}",千问.txt
千问_A_C20,Alibaba Qwen,Alibaba Qwen,A,Geoscience,C20,地质时间,地球历史长达46亿年，人类历史极短。,地球历史长达46亿年，人类历史极短。,"{""id"":""C20"",""concept"":""地质时间"",""text"":""地球历史长达46亿年，人类历史极短。"",""misconception"":""地球历史很短，只有几千年"",""correction"":""地球已有46亿年历史，人类出现仅百万年。""}",千问.txt
千问_A_C21,Alibaba Qwen,Alibaba Qwen,A,Geoscience,C21,岩石循环,三大类岩石在地质作用下可相互转化。,三大类岩石在地质作用下可相互转化。,"{""id"":""C21"",""concept"":""岩石循环"",""text"":""三大类岩石在地质作用下可相互转化。"",""misconception"":""岩石是永恒不变的"",""correction"":""岩石在高温高压下可熔化或变质，不断转化。""}",千问.txt
千问_A_C22,Alibaba Qwen,Alibaba Qwen,A,Geoscience,C22,地震成因,板块间应力积累超过岩石强度引发震动。,板块间应力积累超过岩石强度引发震动。,"{""id"":""C22"",""concept"":""地震成因"",""text"":""板块间应力积累超过岩石强度引发震动。"",""misconception"":""地震是地底空洞塌陷造成的"",""correction"":""地震主要源于板块挤压断裂释放的巨大能量。""}",千问.txt
千问_A_C23,Alibaba Qwen,Alibaba Qwen,A,Geoscience,C23,火山与板块边界,火山多分布在板块交界处，内部岩浆喷发。,火山多分布在板块交界处，内部岩浆喷发。,"{""id"":""C23"",""concept"":""火山与板块边界"",""text"":""火山多分布在板块交界处，内部岩浆喷发。"",""misconception"":""火山是地底燃烧的大火堆"",""correction"":""火山喷发是高温熔融岩石（岩浆），非燃烧。""}",千问.txt
千问_A_C24,Alibaba Qwen,Alibaba Qwen,A,Geoscience,C24,地球内部结构,地球分为地壳、地幔、地核三层结构。,地球分为地壳、地幔、地核三层结构。,"{""id"":""C24"",""concept"":""地球内部结构"",""text"":""地球分为地壳、地幔、地核三层结构。"",""misconception"":""地球内部全是炽热的岩浆"",""correction"":""地幔大部分是固态岩石，仅局部熔融。""}",千问.txt
千问_A_C25,Alibaba Qwen,Alibaba Qwen,A,Climate/Environment,C25,温室效应,温室气体捕获热量，维持地球适宜温度。,温室气体捕获热量，维持地球适宜温度。,"{""id"":""C25"",""concept"":""温室效应"",""text"":""温室气体捕获热量，维持地球适宜温度。"",""misconception"":""温室效应是坏的，应该完全消除"",""correction"":""自然温室效应是必须的，没有它地球会很冷。""}",千问.txt
千问_A_C26,Alibaba Qwen,Alibaba Qwen,A,Climate/Environment,C26,天气与气候,天气是短期现象，气候是长期统计平均。,天气是短期现象，气候是长期统计平均。,"{""id"":""C26"",""concept"":""天气与气候"",""text"":""天气是短期现象，气候是长期统计平均。"",""misconception"":""今天很冷，说明气候变暖是假的"",""correction"":""气候看长期趋势，单日冷暖不代表气候变冷。""}",千问.txt
千问_A_C27,Alibaba Qwen,Alibaba Qwen,A,Climate/Environment,C27,全球变暖与气候变化,全球变暖导致极端天气增多，气候模式改变。,全球变暖导致极端天气增多，气候模式改变。,"{""id"":""C27"",""concept"":""全球变暖与气候变化"",""text"":""全球变暖导致极端天气增多，气候模式改变。"",""misconception"":""全球变暖就是天气越来越热"",""correction"":""全球变暖指平均气温上升，不代表每天更热。""}",千问.txt
千问_A_C28,Alibaba Qwen,Alibaba Qwen,A,Climate/Environment,C28,二氧化碳的气候作用,二氧化碳是主要温室气体，调节地球温度。,二氧化碳是主要温室气体，调节地球温度。,"{""id"":""C28"",""concept"":""二氧化碳的气候作用"",""text"":""二氧化碳是主要温室气体，调节地球温度。"",""misconception"":""二氧化碳只占0.04%，影响微乎其微"",""correction"":""微量二氧化碳对温室效应起决定性作用。""}",千问.txt
千问_A_C29,Alibaba Qwen,Alibaba Qwen,A,Climate/Environment,C29,海洋垃圾与塑料污染,塑料难以降解，破坏海洋生态和食物链。,塑料难以降解，破坏海洋生态和食物链。,"{""id"":""C29"",""concept"":""海洋垃圾与塑料污染"",""text"":""塑料难以降解，破坏海洋生态和食物链。"",""misconception"":""海洋很大，能稀释所有塑料垃圾"",""correction"":""塑料在海洋中累积形成垃圾带，无法自然稀释。""}",千问.txt
千问_A_C30,Alibaba Qwen,Alibaba Qwen,A,Climate/Environment,C30,自然变率与人为影响,气候变化由自然和人为因素共同导致。,气候变化由自然和人为因素共同导致。,"{""id"":""C30"",""concept"":""自然变率与人为影响"",""text"":""气候变化由自然和人为因素共同导致。"",""misconception"":""气候变化全是自然周期，与人类无关"",""correction"":""近百年变暖主要由人类燃烧化石燃料导致。""}",千问.txt
千问_B_C01,Alibaba Qwen,Alibaba Qwen,B,Physics,C01,惯性,"{""id"":""C01"",""concept"":""惯性"",""title"":""公交急刹"",""scene"":""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"",""tags"":[""惯性"",""运动状态"",""净力""],""warning"":""别把惯性误解成一种力。""}","{""id"":""C01"",""concept"":""惯性"",""title"":""公交急刹"",""scene"":""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"",""tags"":[""惯性"",""运动状态"",""净力""],""warning"":""别把惯性误解成一种力。""}","{""id"":""C01"",""concept"":""惯性"",""title"":""公交急刹"",""scene"":""公交急刹，小林身体前倾，才发现身体会保持原来的运动。"",""tags"":[""惯性"",""运动状态"",""净力""],""warning"":""别把惯性误解成一种力。""}",千问.txt
千问_B_C02,Alibaba Qwen,Alibaba Qwen,B,Physics,C02,净力与加速度,"{""id"":""C02"",""concept"":""净力与加速度"",""title"":""冰壶滑行"",""scene"":""小美在冰壶馆，看着冰壶减速，明白了力改变运动状态。"",""tags"":[""净力"",""加速度"",""匀速""],""warning"":""匀速运动不需要净力。""}","{""id"":""C02"",""concept"":""净力与加速度"",""title"":""冰壶滑行"",""scene"":""小美在冰壶馆，看着冰壶减速，明白了力改变运动状态。"",""tags"":[""净力"",""加速度"",""匀速""],""warning"":""匀速运动不需要净力。""}","{""id"":""C02"",""concept"":""净力与加速度"",""title"":""冰壶滑行"",""scene"":""小美在冰壶馆，看着冰壶减速，明白了力改变运动状态。"",""tags"":[""净力"",""加速度"",""匀速""],""warning"":""匀速运动不需要净力。""}",千问.txt
千问_B_C03,Alibaba Qwen,Alibaba Qwen,B,Physics,C03,牛顿第三定律,"{""id"":""C03"",""concept"":""牛顿第三定律"",""title"":""推墙测试"",""scene"":""小刚用力推墙，自己却后退，发现作用力与反作用力。"",""tags"":[""作用力"",""反作用力"",""对等""],""warning"":""两力大小永远相等。""}","{""id"":""C03"",""concept"":""牛顿第三定律"",""title"":""推墙测试"",""scene"":""小刚用力推墙，自己却后退，发现作用力与反作用力。"",""tags"":[""作用力"",""反作用力"",""对等""],""warning"":""两力大小永远相等。""}","{""id"":""C03"",""concept"":""牛顿第三定律"",""title"":""推墙测试"",""scene"":""小刚用力推墙，自己却后退，发现作用力与反作用力。"",""tags"":[""作用力"",""反作用力"",""对等""],""warning"":""两力大小永远相等。""}",千问.txt
千问_B_C04,Alibaba Qwen,Alibaba Qwen,B,Physics,C04,抛体运动,"{""id"":""C04"",""concept"":""抛体运动"",""title"":""篮球投射"",""scene"":""小明投篮，篮球划出弧线，水平方向不受力也能前进。"",""tags"":[""抛体"",""水平"",""竖直""],""warning"":""水平运动不需要持续受力。""}","{""id"":""C04"",""concept"":""抛体运动"",""title"":""篮球投射"",""scene"":""小明投篮，篮球划出弧线，水平方向不受力也能前进。"",""tags"":[""抛体"",""水平"",""竖直""],""warning"":""水平运动不需要持续受力。""}","{""id"":""C04"",""concept"":""抛体运动"",""title"":""篮球投射"",""scene"":""小明投篮，篮球划出弧线，水平方向不受力也能前进。"",""tags"":[""抛体"",""水平"",""竖直""],""warning"":""水平运动不需要持续受力。""}",千问.txt
千问_B_C05,Alibaba Qwen,Alibaba Qwen,B,Physics,C05,圆周运动,"{""id"":""C05"",""concept"":""圆周运动"",""title"":""旋转茶杯"",""scene"":""小丽在游乐场坐旋转茶杯，感觉被甩出去，其实是向心力。"",""tags"":[""圆周"",""向心力"",""离心""],""warning"":""离心力是假想力。""}","{""id"":""C05"",""concept"":""圆周运动"",""title"":""旋转茶杯"",""scene"":""小丽在游乐场坐旋转茶杯，感觉被甩出去，其实是向心力。"",""tags"":[""圆周"",""向心力"",""离心""],""warning"":""离心力是假想力。""}","{""id"":""C05"",""concept"":""圆周运动"",""title"":""旋转茶杯"",""scene"":""小丽在游乐场坐旋转茶杯，感觉被甩出去，其实是向心力。"",""tags"":[""圆周"",""向心力"",""离心""],""warning"":""离心力是假想力。""}",千问.txt
千问_B_C06,Alibaba Qwen,Alibaba Qwen,B,Physics,C06,摩擦力与运动,"{""id"":""C06"",""concept"":""摩擦力与运动"",""title"":""起步奔跑"",""scene"":""小王跑步起步，鞋底摩擦地面，摩擦力才是前进的动力。"",""tags"":[""摩擦力"",""动力"",""相对""],""warning"":""摩擦力也能推动物体。""}","{""id"":""C06"",""concept"":""摩擦力与运动"",""title"":""起步奔跑"",""scene"":""小王跑步起步，鞋底摩擦地面，摩擦力才是前进的动力。"",""tags"":[""摩擦力"",""动力"",""相对""],""warning"":""摩擦力也能推动物体。""}","{""id"":""C06"",""concept"":""摩擦力与运动"",""title"":""起步奔跑"",""scene"":""小王跑步起步，鞋底摩擦地面，摩擦力才是前进的动力。"",""tags"":[""摩擦力"",""动力"",""相对""],""warning"":""摩擦力也能推动物体。""}",千问.txt
千问_B_C07,Alibaba Qwen,Alibaba Qwen,B,Chemistry,C07,质量守恒,"{""id"":""C07"",""concept"":""质量守恒"",""title"":""蜡烛燃烧"",""scene"":""小芳点燃蜡烛，蜡油变少，但总质量其实一点没变。"",""tags"":[""质量"",""守恒"",""燃烧""],""warning"":""燃烧产物质量等于反应物。""}","{""id"":""C07"",""concept"":""质量守恒"",""title"":""蜡烛燃烧"",""scene"":""小芳点燃蜡烛，蜡油变少，但总质量其实一点没变。"",""tags"":[""质量"",""守恒"",""燃烧""],""warning"":""燃烧产物质量等于反应物。""}","{""id"":""C07"",""concept"":""质量守恒"",""title"":""蜡烛燃烧"",""scene"":""小芳点燃蜡烛，蜡油变少，但总质量其实一点没变。"",""tags"":[""质量"",""守恒"",""燃烧""],""warning"":""燃烧产物质量等于反应物。""}",千问.txt
千问_B_C08,Alibaba Qwen,Alibaba Qwen,B,Chemistry,C08,物质微粒观,"{""id"":""C08"",""concept"":""物质微粒观"",""title"":""原子模型"",""scene"":""小张看着原子模型，发现原子内部其实大部分是空的。"",""tags"":[""微粒"",""原子"",""空隙""],""warning"":""原子不是实心小球。""}","{""id"":""C08"",""concept"":""物质微粒观"",""title"":""原子模型"",""scene"":""小张看着原子模型，发现原子内部其实大部分是空的。"",""tags"":[""微粒"",""原子"",""空隙""],""warning"":""原子不是实心小球。""}","{""id"":""C08"",""concept"":""物质微粒观"",""title"":""原子模型"",""scene"":""小张看着原子模型，发现原子内部其实大部分是空的。"",""tags"":[""微粒"",""原子"",""空隙""],""warning"":""原子不是实心小球。""}",千问.txt
千问_B_C09,Alibaba Qwen,Alibaba Qwen,B,Chemistry,C09,相变,"{""id"":""C09"",""concept"":""相变"",""title"":""水烧开了"",""scene"":""妈妈烧开水，水变成气体，但水分子结构其实没破坏。"",""tags"":[""相变"",""分子间距"",""结构""],""warning"":""相变不改变分子结构。""}","{""id"":""C09"",""concept"":""相变"",""title"":""水烧开了"",""scene"":""妈妈烧开水，水变成气体，但水分子结构其实没破坏。"",""tags"":[""相变"",""分子间距"",""结构""],""warning"":""相变不改变分子结构。""}","{""id"":""C09"",""concept"":""相变"",""title"":""水烧开了"",""scene"":""妈妈烧开水，水变成气体，但水分子结构其实没破坏。"",""tags"":[""相变"",""分子间距"",""结构""],""warning"":""相变不改变分子结构。""}",千问.txt
千问_B_C10,Alibaba Qwen,Alibaba Qwen,B,Chemistry,C10,化学反应与物理变化,"{""id"":""C10"",""concept"":""化学反应与物理变化"",""title"":""灯泡发光"",""scene"":""小刘打开台灯，灯泡发热发光，但这只是物理变化。"",""tags"":[""物理变化"",""化学变化"",""发光""],""warning"":""发光发热不一定是化学变化。""}","{""id"":""C10"",""concept"":""化学反应与物理变化"",""title"":""灯泡发光"",""scene"":""小刘打开台灯，灯泡发热发光，但这只是物理变化。"",""tags"":[""物理变化"",""化学变化"",""发光""],""warning"":""发光发热不一定是化学变化。""}","{""id"":""C10"",""concept"":""化学反应与物理变化"",""title"":""灯泡发光"",""scene"":""小刘打开台灯，灯泡发热发光，但这只是物理变化。"",""tags"":[""物理变化"",""化学变化"",""发光""],""warning"":""发光发热不一定是化学变化。""}",千问.txt
千问_B_C11,Alibaba Qwen,Alibaba Qwen,B,Chemistry,C11,化学键,"{""id"":""C11"",""concept"":""化学键"",""title"":""原子牵手"",""scene"":""小陈在化学课上，把化学键想象成原子间的电磁牵手。"",""tags"":[""化学键"",""电磁力"",""相互作用""],""warning"":""化学键不是实体胶水。""}","{""id"":""C11"",""concept"":""化学键"",""title"":""原子牵手"",""scene"":""小陈在化学课上，把化学键想象成原子间的电磁牵手。"",""tags"":[""化学键"",""电磁力"",""相互作用""],""warning"":""化学键不是实体胶水。""}","{""id"":""C11"",""concept"":""化学键"",""title"":""原子牵手"",""scene"":""小陈在化学课上，把化学键想象成原子间的电磁牵手。"",""tags"":[""化学键"",""电磁力"",""相互作用""],""warning"":""化学键不是实体胶水。""}",千问.txt
千问_B_C12,Alibaba Qwen,Alibaba Qwen,B,Chemistry,C12,溶液浓度与稀释,"{""id"":""C12"",""concept"":""溶液浓度与稀释"",""title"":""果汁加水"",""scene"":""小杨把果汁加水稀释，果汁变淡了，但糖分一点没少。"",""tags"":[""稀释"",""溶质"",""浓度""],""warning"":""加水不减少溶质的量。""}","{""id"":""C12"",""concept"":""溶液浓度与稀释"",""title"":""果汁加水"",""scene"":""小杨把果汁加水稀释，果汁变淡了，但糖分一点没少。"",""tags"":[""稀释"",""溶质"",""浓度""],""warning"":""加水不减少溶质的量。""}","{""id"":""C12"",""concept"":""溶液浓度与稀释"",""title"":""果汁加水"",""scene"":""小杨把果汁加水稀释，果汁变淡了，但糖分一点没少。"",""tags"":[""稀释"",""溶质"",""浓度""],""warning"":""加水不减少溶质的量。""}",千问.txt
千问_B_C13,Alibaba Qwen,Alibaba Qwen,B,Biology,C13,自然选择,"{""id"":""C13"",""concept"":""自然选择"",""title"":""长颈鹿吃叶"",""scene"":""小周看纪录片，长颈鹿不是想变长，而是环境筛选了它们。"",""tags"":[""自然选择"",""适应"",""筛选""],""warning"":""生物不主动改变基因。""}","{""id"":""C13"",""concept"":""自然选择"",""title"":""长颈鹿吃叶"",""scene"":""小周看纪录片，长颈鹿不是想变长，而是环境筛选了它们。"",""tags"":[""自然选择"",""适应"",""筛选""],""warning"":""生物不主动改变基因。""}","{""id"":""C13"",""concept"":""自然选择"",""title"":""长颈鹿吃叶"",""scene"":""小周看纪录片，长颈鹿不是想变长，而是环境筛选了它们。"",""tags"":[""自然选择"",""适应"",""筛选""],""warning"":""生物不主动改变基因。""}",千问.txt
千问_B_C14,Alibaba Qwen,Alibaba Qwen,B,Biology,C14,进化没有预设目标,"{""id"":""C14"",""concept"":""进化没有预设目标"",""title"":""盲人登山"",""scene"":""小吴把进化比作盲人登山，没有目标，只有适应当前。"",""tags"":[""进化"",""目标"",""适应""],""warning"":""进化没有完美目标。""}","{""id"":""C14"",""concept"":""进化没有预设目标"",""title"":""盲人登山"",""scene"":""小吴把进化比作盲人登山，没有目标，只有适应当前。"",""tags"":[""进化"",""目标"",""适应""],""warning"":""进化没有完美目标。""}","{""id"":""C14"",""concept"":""进化没有预设目标"",""title"":""盲人登山"",""scene"":""小吴把进化比作盲人登山，没有目标，只有适应当前。"",""tags"":[""进化"",""目标"",""适应""],""warning"":""进化没有完美目标。""}",千问.txt
千问_B_C15,Alibaba Qwen,Alibaba Qwen,B,Biology,C15,随机变异与非随机选择,"{""id"":""C15"",""concept"":""随机变异与非随机选择"",""title"":""变异彩票"",""scene"":""小郑在公园，明白环境不决定变异，只筛选已有的变异。"",""tags"":[""随机"",""变异"",""筛选""],""warning"":""环境不导致特定变异。""}","{""id"":""C15"",""concept"":""随机变异与非随机选择"",""title"":""变异彩票"",""scene"":""小郑在公园，明白环境不决定变异，只筛选已有的变异。"",""tags"":[""随机"",""变异"",""筛选""],""warning"":""环境不导致特定变异。""}","{""id"":""C15"",""concept"":""随机变异与非随机选择"",""title"":""变异彩票"",""scene"":""小郑在公园，明白环境不决定变异，只筛选已有的变异。"",""tags"":[""随机"",""变异"",""筛选""],""warning"":""环境不导致特定变异。""}",千问.txt
千问_B_C16,Alibaba Qwen,Alibaba Qwen,B,Biology,C16,遗传信息与性状,"{""id"":""C16"",""concept"":""遗传信息与性状"",""title"":""双胞胎差异"",""scene"":""双胞胎虽然基因相同，但生活环境不同，性状也会不同。"",""tags"":[""基因"",""环境"",""性状""],""warning"":""性状是基因与环境共同结果。""}","{""id"":""C16"",""concept"":""遗传信息与性状"",""title"":""双胞胎差异"",""scene"":""双胞胎虽然基因相同，但生活环境不同，性状也会不同。"",""tags"":[""基因"",""环境"",""性状""],""warning"":""性状是基因与环境共同结果。""}","{""id"":""C16"",""concept"":""遗传信息与性状"",""title"":""双胞胎差异"",""scene"":""双胞胎虽然基因相同，但生活环境不同，性状也会不同。"",""tags"":[""基因"",""环境"",""性状""],""warning"":""性状是基因与环境共同结果。""}",千问.txt
千问_B_C17,Alibaba Qwen,Alibaba Qwen,B,Biology,C17,能量流动与物质循环,"{""id"":""C17"",""concept"":""能量流动与物质循环"",""title"":""食物链条"",""scene"":""小孙观察池塘，能量单向流走，物质却在鱼和水间循环。"",""tags"":[""能量"",""物质"",""循环""],""warning"":""能量流动是单向的。""}","{""id"":""C17"",""concept"":""能量流动与物质循环"",""title"":""食物链条"",""scene"":""小孙观察池塘，能量单向流走，物质却在鱼和水间循环。"",""tags"":[""能量"",""物质"",""循环""],""warning"":""能量流动是单向的。""}","{""id"":""C17"",""concept"":""能量流动与物质循环"",""title"":""食物链条"",""scene"":""小孙观察池塘，能量单向流走，物质却在鱼和水间循环。"",""tags"":[""能量"",""物质"",""循环""],""warning"":""能量流动是单向的。""}",千问.txt
千问_B_C18,Alibaba Qwen,Alibaba Qwen,B,Biology,C18,光合作用与细胞呼吸,"{""id"":""C18"",""concept"":""光合作用与细胞呼吸"",""title"":""植物呼吸"",""scene"":""小钱发现植物白天光合，晚上呼吸，全天都在释放能量。"",""tags"":[""光合"",""呼吸"",""能量""],""warning"":""植物全天进行呼吸作用。""}","{""id"":""C18"",""concept"":""光合作用与细胞呼吸"",""title"":""植物呼吸"",""scene"":""小钱发现植物白天光合，晚上呼吸，全天都在释放能量。"",""tags"":[""光合"",""呼吸"",""能量""],""warning"":""植物全天进行呼吸作用。""}","{""id"":""C18"",""concept"":""光合作用与细胞呼吸"",""title"":""植物呼吸"",""scene"":""小钱发现植物白天光合，晚上呼吸，全天都在释放能量。"",""tags"":[""光合"",""呼吸"",""能量""],""warning"":""植物全天进行呼吸作用。""}",千问.txt
千问_B_C19,Alibaba Qwen,Alibaba Qwen,B,Geoscience,C19,板块构造,"{""id"":""C19"",""concept"":""板块构造"",""title"":""大陆漂移"",""scene"":""小冯看着地球仪，大陆像拼图，在软流层上缓慢移动。"",""tags"":[""板块"",""构造"",""移动""],""warning"":""板块确实在缓慢移动。""}","{""id"":""C19"",""concept"":""板块构造"",""title"":""大陆漂移"",""scene"":""小冯看着地球仪，大陆像拼图，在软流层上缓慢移动。"",""tags"":[""板块"",""构造"",""移动""],""warning"":""板块确实在缓慢移动。""}","{""id"":""C19"",""concept"":""板块构造"",""title"":""大陆漂移"",""scene"":""小冯看着地球仪，大陆像拼图，在软流层上缓慢移动。"",""tags"":[""板块"",""构造"",""移动""],""warning"":""板块确实在缓慢移动。""}",千问.txt
千问_B_C20,Alibaba Qwen,Alibaba Qwen,B,Geoscience,C20,地质时间,"{""id"":""C20"",""concept"":""地质时间"",""title"":""地球年历"",""scene"":""小沈把地球历史比作年历，人类出现只在最后几秒。"",""tags"":[""地质"",""时间"",""历史""],""warning"":""人类历史极短。""}","{""id"":""C20"",""concept"":""地质时间"",""title"":""地球年历"",""scene"":""小沈把地球历史比作年历，人类出现只在最后几秒。"",""tags"":[""地质"",""时间"",""历史""],""warning"":""人类历史极短。""}","{""id"":""C20"",""concept"":""地质时间"",""title"":""地球年历"",""scene"":""小沈把地球历史比作年历，人类出现只在最后几秒。"",""tags"":[""地质"",""时间"",""历史""],""warning"":""人类历史极短。""}",千问.txt
