item_id,judge_provider,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,parse_success,retry_count,error_message,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id,judge_quality,case_id,version,domain,concept,hidden_intervention,question,task_type,generated_text,expected_quality_preference,expected_riskier_version
A04_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1.0,1.0,5.0,2.0,1.0,5.0,True,0,,200,1041.0,590.0,,2.0,A04,A,Biology,Photosynthesis and cellular respiration,mechanism and boundary,植物白天是不是只进行光合作用，晚上才进行细胞呼吸？,controlled_ab_science_explanation,植物白天进行光合作用，晚上进行呼吸作用。白天它们制造氧气，晚上它们吸收氧气，所以这两个过程可以看成白天和夜晚的分工。,B,A
A04_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,1067.0,378.0,,4.8,A04,B,Biology,Photosynthesis and cellular respiration,mechanism and boundary,植物白天是不是只进行光合作用，晚上才进行细胞呼吸？,controlled_ab_science_explanation,植物在有光时可以进行光合作用，但细胞呼吸几乎一直发生。光合作用和细胞呼吸不是简单的白天/夜晚开关关系：前者把光能转化为有机物中的化学能，后者分解有机物释放能量供细胞使用。,B,A
A05_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1.0,2.0,5.0,2.0,1.0,5.0,True,0,,200,1033.0,423.0,,2.2,A05,B,Geoscience,Geological time,analogy boundary,把地球历史压缩成一天，这个比喻能不能说明地质时间？,controlled_ab_science_explanation,地球历史就像一天的故事，人类只是最后几秒才登场。因此，地球上的变化都非常缓慢，短时间内发生的变化基本不重要。,A,B
A06_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,1048.0,282.0,,4.8,A06,A,Climate/Environment,Weather and climate,scale distinction,某一天很冷，是不是说明全球变暖不可靠？,controlled_ab_science_explanation,某一天很冷不能直接反驳全球变暖，因为天气描述的是短时间、局地的大气状态，而气候关注的是较长时间尺度上的统计趋势。局地冷事件仍可能出现在整体变暖的背景下。,A,B
A05_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,1059.0,426.0,,4.8,A05,A,Geoscience,Geological time,analogy boundary,把地球历史压缩成一天，这个比喻能不能说明地质时间？,controlled_ab_science_explanation,如果把地球历史压缩成一天，人类出现只在最后几秒。这个比喻能帮助我们感受地质时间的巨大尺度，但它只是比例类比，不能说明所有地质过程都匀速发生，也不能替代对具体事件和证据的解释。,A,B
A06_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1.0,1.0,5.0,1.0,1.0,5.0,True,0,,200,1038.0,263.0,,1.8,A06,B,Climate/Environment,Weather and climate,scale distinction,某一天很冷，是不是说明全球变暖不可靠？,controlled_ab_science_explanation,全球变暖只是说平均温度会升高，所以只要某一天很冷，就说明全球变暖并不可靠。天气每天都在变，因此很难说气候真的有趋势。,A,B
A07_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,4.0,3.0,5.0,5.0,5.0,2.0,True,0,,200,1038.0,472.0,,4.4,A07,A,Chemistry,Chemical equilibrium,dynamic mechanism,化学平衡是不是说明反应已经停止？,controlled_ab_science_explanation,化学平衡不是反应停止，而是正反应和逆反应仍在同时进行，只是宏观上浓度不再明显变化。它是一种动态平衡，而不是静止状态。,A,B
A07_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1.0,2.0,4.0,2.0,1.0,5.0,True,0,,200,1020.0,590.0,,2.0,A07,B,Chemistry,Chemical equilibrium,dynamic mechanism,化学平衡是不是说明反应已经停止？,controlled_ab_science_explanation,化学平衡就是反应达到稳定状态，此时反应已经基本结束，所以各物质的量保持不变。,A,B
A08_B,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,1064.0,590.0,,4.8,A08,B,Climate/Environment,Greenhouse effect,format compliance vs semantic accuracy,温室效应是不是就等于污染？,controlled_ab_science_explanation,温室效应本身不是污染，而是大气中某些气体吸收并再辐射红外辐射的过程。没有自然温室效应，地球会更冷；问题在于人类活动增加了部分温室气体浓度，使额外增温加剧。,B,A
A08_A,openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,gpt-5.5-2026-04-23,gpt-5.5,1.0,1.0,4.0,3.0,1.0,5.0,True,0,,200,1044.0,590.0,,2.0,A08,A,Climate/Environment,Greenhouse effect,format compliance vs semantic accuracy,温室效应是不是就等于污染？,controlled_ab_science_explanation,【科学卡片】温室效应就像给地球盖上一层被子。污染让这层被子越来越厚，所以地球越来越热。记住：温室效应就是污染导致的升温！,B,A
A02_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,5.0,5.0,5.0,5.0,1.0,True,0,,200,764.0,2751.0,fpv0_69dc6732,5.0,A02,A,Physics,Net force and acceleration,causal distinction,物体速度不变时，是不是说明它没有受力？,controlled_ab_science_explanation,如果一个物体速度不变，说明它的加速度为零，因此合力为零。但这不等于“没有任何力”。例如桌上的书同时受到重力和支持力，只是这些力相互平衡，所以合力为零。,A,B
A02_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,1.0,1.0,3.0,1.0,1.0,5.0,True,0,,200,745.0,1994.0,fpv0_8cab9aba,1.4,A02,B,Physics,Net force and acceleration,causal distinction,物体速度不变时，是不是说明它没有受力？,controlled_ab_science_explanation,物体速度不变时没有加速度，所以没有力。只有物体开始加速或减速时，力才真正起作用。,A,B
A01_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,3.0,3.0,5.0,3.0,4.0,3.0,True,0,,200,751.0,5576.0,fpv0_69dc6732,3.6,A01,B,Physics,Projectile motion,boundary condition,篮球被投出去以后，水平方向还受不受力？,controlled_ab_science_explanation,篮球离手后水平方向不受力，因此水平速度保持不变。它会继续向前运动，是因为物体具有惯性，不需要持续的水平推力。,A,B
A01_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,3.0,5.0,4.0,4.0,1.0,True,1,,200,773.0,4709.0,fpv0_fdcd1966,4.2,A01,A,Physics,Projectile motion,boundary condition,篮球被投出去以后，水平方向还受不受力？,controlled_ab_science_explanation,在忽略空气阻力的理想模型中，篮球离手后水平方向通常不再受到持续推力，因此水平速度可以近似保持不变。现实中空气阻力会逐渐减小水平速度，所以课堂中的结论需要放在“理想化模型”这个条件下理解。,A,B
A03_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,775.0,2501.0,fpv0_69dc6732,4.8,A03,B,Biology,Evolution has no predetermined goal,misconception repair depth,进化是不是会朝着更高级的目标前进？,controlled_ab_science_explanation,很多人以为进化像一条通向“更高级生物”的路线。这个想法的问题在于把结果误认为目的。自然选择不会提前设定方向，只是某些可遗传变异在特定环境中让个体留下更多后代，于是这些变异在群体中变得更常见。,B,A
A04_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,1.0,3.0,5.0,3.0,1.0,5.0,True,0,,200,757.0,1916.0,fpv0_5bc7fa40,2.6,A04,A,Biology,Photosynthesis and cellular respiration,mechanism and boundary,植物白天是不是只进行光合作用，晚上才进行细胞呼吸？,controlled_ab_science_explanation,植物白天进行光合作用，晚上进行呼吸作用。白天它们制造氧气，晚上它们吸收氧气，所以这两个过程可以看成白天和夜晚的分工。,B,A
A03_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,4.0,3.0,5.0,3.0,4.0,2.0,True,0,,200,753.0,3748.0,fpv0_fdcd1966,3.8,A03,A,Biology,Evolution has no predetermined goal,misconception repair depth,进化是不是会朝着更高级的目标前进？,controlled_ab_science_explanation,很多人以为进化有目标，其实进化没有目标。生物只是不断适应环境，所以不能说某种生物一定比另一种生物更高级。,B,A
A05_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,771.0,1496.0,fpv0_8cab9aba,4.8,A05,A,Geoscience,Geological time,analogy boundary,把地球历史压缩成一天，这个比喻能不能说明地质时间？,controlled_ab_science_explanation,如果把地球历史压缩成一天，人类出现只在最后几秒。这个比喻能帮助我们感受地质时间的巨大尺度，但它只是比例类比，不能说明所有地质过程都匀速发生，也不能替代对具体事件和证据的解释。,A,B
A04_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,771.0,1860.0,fpv0_8cab9aba,4.8,A04,B,Biology,Photosynthesis and cellular respiration,mechanism and boundary,植物白天是不是只进行光合作用，晚上才进行细胞呼吸？,controlled_ab_science_explanation,植物在有光时可以进行光合作用，但细胞呼吸几乎一直发生。光合作用和细胞呼吸不是简单的白天/夜晚开关关系：前者把光能转化为有机物中的化学能，后者分解有机物释放能量供细胞使用。,B,A
A06_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,5.0,5.0,5.0,5.0,1.0,True,0,,200,761.0,857.0,fpv0_8cab9aba,5.0,A06,A,Climate/Environment,Weather and climate,scale distinction,某一天很冷，是不是说明全球变暖不可靠？,controlled_ab_science_explanation,某一天很冷不能直接反驳全球变暖，因为天气描述的是短时间、局地的大气状态，而气候关注的是较长时间尺度上的统计趋势。局地冷事件仍可能出现在整体变暖的背景下。,A,B
A05_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,2.0,3.0,5.0,3.0,1.0,5.0,True,0,,200,751.0,3735.0,fpv0_8cab9aba,2.8,A05,B,Geoscience,Geological time,analogy boundary,把地球历史压缩成一天，这个比喻能不能说明地质时间？,controlled_ab_science_explanation,地球历史就像一天的故事，人类只是最后几秒才登场。因此，地球上的变化都非常缓慢，短时间内发生的变化基本不重要。,A,B
A07_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,4.0,5.0,5.0,5.0,1.0,True,0,,200,753.0,1897.0,fpv0_8cab9aba,4.8,A07,A,Chemistry,Chemical equilibrium,dynamic mechanism,化学平衡是不是说明反应已经停止？,controlled_ab_science_explanation,化学平衡不是反应停止，而是正反应和逆反应仍在同时进行，只是宏观上浓度不再明显变化。它是一种动态平衡，而不是静止状态。,A,B
A07_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,2.0,2.0,4.0,3.0,1.0,5.0,True,0,,200,741.0,3886.0,fpv0_69dc6732,2.4,A07,B,Chemistry,Chemical equilibrium,dynamic mechanism,化学平衡是不是说明反应已经停止？,controlled_ab_science_explanation,化学平衡就是反应达到稳定状态，此时反应已经基本结束，所以各物质的量保持不变。,A,B
A08_A,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,1.0,1.0,3.0,3.0,1.0,5.0,True,0,,200,759.0,2867.0,fpv0_8cab9aba,1.8,A08,A,Climate/Environment,Greenhouse effect,format compliance vs semantic accuracy,温室效应是不是就等于污染？,controlled_ab_science_explanation,【科学卡片】温室效应就像给地球盖上一层被子。污染让这层被子越来越厚，所以地球越来越热。记住：温室效应就是污染导致的升温！,B,A
A08_B,kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,kimi-k2.6,kimi-k2.6-thinking,5.0,5.0,5.0,5.0,5.0,1.0,True,1,,200,768.0,1450.0,fpv0_8cab9aba,5.0,A08,B,Climate/Environment,Greenhouse effect,format compliance vs semantic accuracy,温室效应是不是就等于污染？,controlled_ab_science_explanation,温室效应本身不是污染，而是大气中某些气体吸收并再辐射红外辐射的过程。没有自然温室效应，地球会更冷；问题在于人类活动增加了部分温室气体浓度，使额外增温加剧。,B,A
A02_A,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5.0,3.0,5.0,3.0,5.0,1.0,True,0,,200,894.0,128.0,,4.2,A02,A,Physics,Net force and acceleration,causal distinction,物体速度不变时，是不是说明它没有受力？,controlled_ab_science_explanation,如果一个物体速度不变，说明它的加速度为零，因此合力为零。但这不等于“没有任何力”。例如桌上的书同时受到重力和支持力，只是这些力相互平衡，所以合力为零。,A,B
A01_A,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5.0,3.0,5.0,3.0,4.0,1.0,True,0,,200,898.0,128.0,,4.0,A01,A,Physics,Projectile motion,boundary condition,篮球被投出去以后，水平方向还受不受力？,controlled_ab_science_explanation,在忽略空气阻力的理想模型中，篮球离手后水平方向通常不再受到持续推力，因此水平速度可以近似保持不变。现实中空气阻力会逐渐减小水平速度，所以课堂中的结论需要放在“理想化模型”这个条件下理解。,A,B
A01_B,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,5.0,3.0,5.0,4.0,4.0,2.0,True,0,,200,877.0,128.0,,4.2,A01,B,Physics,Projectile motion,boundary condition,篮球被投出去以后，水平方向还受不受力？,controlled_ab_science_explanation,篮球离手后水平方向不受力，因此水平速度保持不变。它会继续向前运动，是因为物体具有惯性，不需要持续的水平推力。,A,B
A03_A,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,3.0,2.0,5.0,3.0,3.0,2.0,True,0,,200,877.0,128.0,,3.2,A03,A,Biology,Evolution has no predetermined goal,misconception repair depth,进化是不是会朝着更高级的目标前进？,controlled_ab_science_explanation,很多人以为进化有目标，其实进化没有目标。生物只是不断适应环境，所以不能说某种生物一定比另一种生物更高级。,B,A
A02_B,doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,1.0,1.0,3.0,2.0,1.0,5.0,True,0,,200,870.0,128.0,,1.6,A02,B,Physics,Net force and acceleration,causal distinction,物体速度不变时，是不是说明它没有受力？,controlled_ab_science_explanation,物体速度不变时没有加速度，所以没有力。只有物体开始加速或减速时，力才真正起作用。,A,B
